0.0183,1,60.000000,60.000000,60.000000
0.0224,1,60.008160,60.005340,60.000130
0.0247,1,60.008160,60.006590,60.000180
0.0292,1,60.008160,60.007580,60.000220
0.0321,1,60.024490,60.010660,60.000320
0.0350,1,60.024490,60.012990,60.000390
0.0379,1,60.024490,60.015350,60.000480
0.0411,1,60.024490,60.017690,60.000580
0.0435,1,60.024490,60.020370,60.000720
0.0453,1,60.024490,60.022240,60.000840
0.0473,1,60.024490,60.023720,60.000930
0.0497,1,60.048980,60.025790,60.001060
0.0518,1,60.048980,60.028840,60.001220
0.0535,1,60.048980,60.031360,60.001380
0.0561,1,60.048980,60.033490,60.001520
0.0581,1,60.048980,60.036640,60.001750
0.0608,1,60.048980,60.039120,60.001950
0.0628,1,60.048980,60.042310,60.002220
0.0647,1,60.048980,60.044770,60.002460
0.0663,1,60.048980,60.047150,60.002700
0.0688,1,60.081630,60.049180,60.002920
0.0707,1,60.081630,60.053240,60.003280
0.0733,1,60.081630,60.056370,60.003580
0.0752,1,60.081630,60.060510,60.004000
0.0769,1,60.081630,60.063630,60.004340
0.0789,1,60.081630,60.066380,60.004670
0.0814,1,60.081630,60.069760,60.005080
0.0836,1,60.081630,60.073750,60.005620
0.0852,1,60.081630,60.077360,60.006130
0.0870,1,60.081630,60.080040,60.006530
0.0896,1,60.122450,60.083260,60.006980
0.0919,1,60.122450,60.088530,60.007680
0.0936,1,60.122450,60.093200,60.008340
0.0953,1,60.122450,60.096810,60.008880
0.0974,1,60.122450,60.100240,60.009410
0.0991,1,60.122450,60.104420,60.010090
0.1011,1,60.122450,60.108020,60.010700
0.1027,1,60.122450,60.111900,60.011390
0.1040,1,60.122450,60.115180,60.011990
0.1057,1,60.122450,60.117920,60.012510
0.1075,1,60.122450,60.121320,60.013180
0.1098,1,60.171430,60.125750,60.013970
0.1114,1,60.171430,60.131120,60.014930
0.1133,1,60.171430,60.135110,60.015670
0.1155,1,60.171430,60.139920,60.016590
0.1176,1,60.171430,60.145360,60.017680
0.1230,1,60.171430,60.150350,60.018710
0.1252,1,60.171430,60.163630,60.021690
0.1273,1,60.171430,60.168890,60.022960
0.1293,1,60.228580,60.174600,60.024280
0.1314,1,60.228580,60.180350,60.025550
0.1335,1,60.228580,60.186200,60.026900
0.1353,1,60.228580,60.192170,60.028320
0.1369,1,60.228580,60.197390,60.029600
0.1386,1,60.228580,60.202050,60.030770
0.1405,1,60.228580,60.206830,60.032010
0.1425,1,60.228580,60.212430,60.033500
0.1443,1,60.228580,60.218090,60.035050
0.1456,1,60.228580,60.223090,60.036460
0.1476,1,60.228580,60.227010,60.037590
0.1498,1,60.293880,60.233190,60.039250
0.1518,1,60.293880,60.240240,60.041120
0.1535,1,60.293880,60.247000,60.042970
0.1552,1,60.293880,60.252610,60.044550
0.1571,1,60.293880,60.257790,60.046040
0.1594,1,60.293880,60.264370,60.047980
0.1611,1,60.293880,60.271700,60.050200
0.1630,1,60.293880,60.277240,60.051930
0.1648,1,60.293880,60.283270,60.053850
0.1668,1,60.293880,60.289160,60.055770
0.1685,1,60.367360,60.296280,60.058060
0.1698,1,60.367360,60.302160,60.059840
0.1718,1,60.367360,60.307140,60.061380
0.1739,1,60.367360,60.314450,60.063680
0.1758,1,60.367360,60.322130,60.066160
0.1773,1,60.367360,60.328940,60.068410
0.1787,1,60.367360,60.334420,60.070250
0.1804,1,60.367360,60.339980,60.072160
0.1822,1,60.367360,60.345890,60.074220
0.1843,1,60.367360,60.352770,60.076660
