70.941,14.89291,5.6082,0.11216,Terrain/Player:(0.000, 1.000);Terrain/Player:(0.000, 1.000);
70.961,15.00507,5.6082,0.11216,Terrain/Player:(0.000, 1.000);Terrain/Player:(0.000, 1.000);
70.981,15.11723,5.6082,0.11216,Terrain/Player:(0.000, 1.000);Terrain/Player:(0.000, 1.000);
71.001,15.22940,5.6082,0.11216,Terrain/Player:(0.000, 1.000);Terrain/Player:(0.000, 1.000);
71.020,15.34156,5.6082,0.11216,Terrain/Player:(0.000, 1.000);Terrain/Player:(0.000, 1.000);
71.040,15.45372,5.6082,0.11216,Terrain/Player:(0.000, 1.000);Terrain/Player:(0.000, 1.000);
71.061,15.56589,5.6082,0.11216,Terrain/Player:(0.000, 1.000);Terrain/Player:(0.000, 1.000);
71.081,15.67805,5.6082,0.11216,Terrain/Player:(0.000, 1.000);Terrain/Player:(0.000, 1.000);
71.101,15.79022,5.6082,0.11216,Terrain/Player:(0.000, 1.000);Terrain/Player:(0.000, 1.000);
71.123,15.90238,5.6082,0.11216,Terrain/Player:(0.000, 1.000);Terrain/Player:(0.000, 1.000);
71.142,16.01454,5.6082,0.11216,Terrain/Player:(0.000, 1.000);Terrain/Player:(0.000, 1.000);
71.162,16.12671,5.6082,0.11216,Terrain/Player:(0.000, 1.000);Terrain/Player:(0.000, 1.000);
71.181,16.23887,5.6082,0.11216,Terrain/Player:(0.000, 1.000);Terrain/Player:(0.000, 1.000);
71.201,16.35103,5.6082,0.11216,Terrain/Player:(0.000, 1.000);Terrain/Player:(0.000, 1.000);
71.220,16.46320,5.6082,0.11216,Terrain/Player:(0.000, 1.000);Terrain/Player:(0.000, 1.000);
71.241,16.57536,5.6082,0.11216,Terrain/Player:(0.000, 1.000);Terrain/Player:(0.000, 1.000);
71.260,16.68752,5.6082,0.11216,Terrain/Player:(0.000, 1.000);Terrain/Player:(0.000, 1.000);
71.282,16.79969,5.6082,0.11216,Terrain/Player:(0.000, 1.000);Terrain/Player:(0.000, 1.000);
71.300,16.91185,5.6082,0.11216,Terrain/Player:(0.000, 1.000);Terrain/Player:(0.000, 1.000);
71.321,17.02401,5.6082,0.11216,Terrain/Player:(0.000, 1.000);Terrain/Player:(0.000, 1.000);
71.341,17.13618,5.6082,0.11216,Terrain/Player:(0.000, 1.000);Terrain/Player:(0.000, 1.000);
71.360,17.24834,5.6082,0.11216,Terrain/Player:(0.000, 1.000);Terrain/Player:(0.000, 1.000);
71.382,17.36050,5.6082,0.11216,Terrain/Player:(0.000, 1.000);Terrain/Player:(0.000, 1.000);
71.400,17.47267,5.6082,0.11216,Terrain/Player:(0.000, 1.000);Terrain/Player:(0.000, 1.000);
71.420,17.58483,5.6082,0.11216,Terrain/Player:(0.000, 1.000);Terrain/Player:(0.000, 1.000);
71.441,17.69699,5.6082,0.11216,Terrain/Player:(0.000, 1.000);Terrain/Player:(0.000, 1.000);
71.461,17.80916,5.6082,0.11216,Terrain/Player:(0.000, 1.000);Terrain/Player:(0.000, 1.000);
71.480,17.92132,5.6082,0.11216,Terrain/Player:(0.000, 1.000);Terrain/Player:(0.000, 1.000);
71.500,18.03349,5.6082,0.11216,Terrain/Player:(0.000, 1.000);Terrain/Player:(0.000, 1.000);
71.520,18.14565,5.6082,0.11216,Terrain/Player:(0.000, 1.000);Terrain/Player:(0.000, 1.000);
71.540,18.25781,5.6082,0.11216,Terrain/Player:(0.000, 1.000);Terrain/Player:(0.000, 1.000);
71.561,18.36998,5.6082,0.11216,Terrain/Player:(0.000, 1.000);Terrain/Player:(0.000, 1.000);
